,Total Number Of Transactions,Total Items Count,Total Sales Amount,Coupons outside of orders,Coupons - Highest Number Of Uses Of Promotion Code,Coupons - Percentage Of Total Amount,Coupons Total Amount,Coupons Count,Coupons Average Amount,Coupons - Percentage Of All Transactions,Refunds Trx Count,Refunds Item Count,Refunds Total Amount,Department Refunds Percentage Of Total Amount,Department Refunds Total Amount,Department Refunds Percentage Of Items,Department Refunds Item Count,Item Voids Item Count,Item Voids Total Amount Voided,Department Sales Percentage Of All Items,Department Sales Item Count,Department Sales Total Amount,Zero Trx Percentage,Zero Count,Zero Trx With Alcohol,Payment Card Relationship Max No Of Card Uses,No Sales Per Day,Base Avg Basket Size
Item Voids Total Amount Voided,0.284640317326,0.1561342873,0.19974350511,0.202644253318,-0.194591365046,-0.216765714518,-0.22037707477,-0.204182334083,-0.13069347856,-0.300368624233,-0.0542354726234,-0.0739302894201,-0.0811513481788,-0.163836980513,-0.143821842096,-0.117971209622,-0.118226521118,0.594447720339,1.0,0.183376257905,0.299932135741,0.676900365469,-0.184966478284,0.00905368648495,0.00468996551745,-0.0111268779269,-0.0700588795781,-0.0716155937419
Department Sales Percentage Of All Items,0.0688071352592,-0.235608571231,-0.250979581678,-0.303803660529,-0.0371279047409,-0.193452434954,-0.183159498064,-0.0812286126516,-0.256902123638,-0.126779981691,0.013632213995,0.00609748504645,-0.0751181088708,0.187700833271,0.13197390174,0.258661447951,0.220795677074,0.105930501589,0.183376257905,1.0,0.792704429511,0.258361507798,-0.202033558482,-0.0889769828426,0.187409284089,0.189106975513,-0.063648032942,-0.313077888824
Department Sales Item Count,0.423644629687,0.293187666121,0.271099785088,-0.111984203958,-0.129611389291,-0.221934411969,-0.0990706940653,-0.11778456038,-0.0515957884672,-0.2945672297,-0.0244718169593,-0.0313091411856,-0.112466800756,-0.132178918133,-0.00563468822543,0.137784208206,0.0685594278884,0.257988708669,0.299932135741,0.792704429511,1.0,0.333088051003,-0.210767483647,-0.143040097599,-0.0246372000692,0.0983646485014,-0.0449981302998,-0.0274283024643
Department Sales Total Amount,0.106623479175,0.0805278644523,0.115080370298,0.112854086667,-0.126090893413,-0.113436220739,-0.106982240857,-0.122374189116,-0.0188896095188,-0.171948527493,-0.00867084928938,-0.0319440054,-0.0401704973453,-0.0597133921987,0.104119644237,-0.0304493995297,-0.00626682067755,0.155215673303,0.676900365469,0.258361507798,0.333088051003,1.0,-0.104857247791,-0.101179091422,-0.0646197276915,0.0734761696865,-0.199669584731,0.0272404935857
Zero Trx Percentage,-0.348487394935,-0.301843834978,-0.286740597027,-0.132876554433,-0.077493840875,0.967075000814,-0.171606338409,-0.114061203284,0.46266227946,0.289093911271,0.0368371164662,0.0270297374643,0.115490094086,-0.0181359824902,-0.0642222682556,-0.136368634785,-0.0926137609912,-0.269227415405,-0.184966478284,-0.202033558482,-0.210767483647,-0.104857247791,1.0,0.117988828435,0.00236760999525,-0.124486904272,-0.126349960711,-0.285498232086
Zero Count,-0.117510401157,-0.118672894529,-0.141654334414,-0.0922427516525,-0.0537358894597,-0.0801483107024,-0.183089573365,-0.0898196559674,-0.106669487274,-0.158609703131,0.784402273629,0.760065115461,0.878383220073,-0.0740939307313,-0.16005049742,-0.252351564513,-0.162506740015,0.13704998173,0.00905368648495,-0.0889769828426,-0.143040097599,-0.101179091422,0.117988828435,1.0,0.241527205987,-0.0396724685608,-0.0979792210922,0.0807752346957
Zero Trx With Alcohol,-0.0190320807399,-0.19516300414,-0.19873956182,-0.183550300006,-0.0956465220321,-0.0393837513588,-0.207008228501,-0.121505385934,-0.227360668973,-0.0967406923024,0.128644376305,0.114504804191,0.101250227469,-0.0316275616265,-0.0848422528381,-0.161671343267,-0.102810672074,0.191766229649,0.00468996551745,0.187409284089,-0.0246372000692,-0.0646197276915,0.00236760999525,0.241527205987,1.0,0.431093650259,0.109459785313,-0.225501761231
Payment Card Relationship Max No Of Card Uses,0.0808332407446,0.0123228795379,-0.0151540558002,-0.251069197469,-0.159640564546,-0.137418558294,-0.116073489032,-0.148399103306,-0.00578326440682,-0.187131607442,-0.0311957283228,-0.0191468134416,-0.0564066926746,-0.0147032909706,0.153553543835,-0.0579575143869,-0.0611146778319,0.139116715553,-0.0111268779269,0.189106975513,0.0983646485014,0.0734761696865,-0.124486904272,-0.0396724685608,0.431093650259,1.0,-0.020261708883,-0.0497475512258
No Sales Per Day,0.337851916279,0.151725212814,0.163077006584,0.121130687947,0.099865293182,-0.100360286994,0.195214949603,0.16204796086,-0.11169438702,-0.0351623337838,-0.156665306207,-0.132964385447,-0.123874993989,-0.0831710026438,-0.155969820794,-0.106723914831,-0.142417240283,-0.0298906278279,-0.0700588795781,-0.063648032942,-0.0449981302998,-0.199669584731,-0.126349960711,-0.0979792210922,0.109459785313,-0.020261708883,1.0,-0.164192136851
Base Avg Basket Size,-0.166350256546,0.574888166318,0.578493743454,0.209948179229,-0.213719400293,-0.32204046371,0.149614825954,-0.133698513255,0.449897457077,-0.0763631401973,0.127176212314,0.111849504618,0.195432305739,-0.0847123899517,0.0897356927182,-0.023506206039,-0.0746413717547,0.0303965668461,-0.0716155937419,-0.313077888824,-0.0274283024643,0.0272404935857,-0.285498232086,0.0807752346957,-0.225501761231,-0.0497475512258,-0.164192136851,1.0
